# scene_id, seg_name, start_timestep, end_timestep
0,00a6ffc1,0,-1
1,01bb304d,0,-1
2,022af476,0,-1
3,0322b098,0,-1
4,03b2cf2d,0,-1
5,03fba633,0,-1
6,04973bcf,0,-1
7,0526e68e,0,-1
8,05853f69,0,-1
9,05fb81ab,0,-1
10,067b1c50,0,-1
11,06852209,0,-1
12,069cc46d,0,-1
13,06e5ac08,0,-1
14,072c8e90,0,-1
15,0749e9e0,0,-1
16,074d2237,0,-1
17,07e4fccb,0,-1
18,080b1ce2,0,-1
19,08734a1b,0,-1
20,087695bd,0,-1
21,087fec73,0,-1
22,08bcc06e,0,-1
23,094c4119,0,-1
24,098fe60e,0,-1
25,0a132537,0,-1
26,0a524e66,0,-1
27,0a8a4cfa,0,-1
28,0ab21841,0,-1
29,0b1b993a,0,-1
30,0b324587,0,-1
31,0b9321c1,0,-1
32,0b97f5dd,0,-1
33,0c143226,0,-1
34,0c61aea3,0,-1
35,0d37aee4,0,-1
36,0d8aab9f,0,-1
37,0d9e4cff,0,-1
38,0f257dcc,0,-1
39,0fc6aa34,0,-1
40,105f47eb,0,-1
41,106d962b,0,-1
42,108d2060,0,-1
43,11420316,0,-1
44,118a1e87,0,-1
45,11995cbe,0,-1
46,12071817,0,-1
47,120d7ac7,0,-1
48,121007f3,0,-1
49,12c3c14b,0,-1
