# scene_idx,tfrecord
0,train_segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord
1,train_segment-10023947602400723454_1120_000_1140_000_with_camera_labels.tfrecord
4,train_segment-10072140764565668044_4060_000_4080_000_with_camera_labels.tfrecord
8,train_segment-10094743350625019937_3420_000_3440_000_with_camera_labels.tfrecord
32,train_segment-10596949720463106554_1933_530_1953_530_with_camera_labels.tfrecord
102,train_segment-12251442326766052580_1840_000_1860_000_with_camera_labels.tfrecord
109,train_segment-12321865437129862911_3480_000_3500_000_with_camera_labels.tfrecord
114,train_segment-12505030131868863688_1740_000_1760_000_with_camera_labels.tfrecord
149,train_segment-13254498462985394788_980_000_1000_000_with_camera_labels.tfrecord
156,train_segment-13402473631986525162_5700_000_5720_000_with_camera_labels.tfrecord
